SN,Movie,Worldwide,India Net,India Gross,Overseas,Budget,Verdict
1,Pushpa: The Rule - Part 2,1742.1,812.14,1471.1,271,400,All Time Blockbuster
2,Stree 2,857.15,597.99,713.15,144,100,All Time Blockbuster
3,Chhaava,807.91,585.7,716.91,91,130,All Time Blockbuster
4,Jawan,1160,582.31,760,400,300,All Time Blockbuster
5,Gadar 2,686,525.7,620.5,65.5,75,All Time Blockbuster
6,Pathaan,1055,524.53,657.5,397.5,250,All Time Blockbuster
7,Baahubali 2 The Conclusion,1788.06,510.99,1416.9,371.16,250,All Time Blockbuster
8,Animal,915,502.98,660,255,200,All Time Blockbuster
9,KGF Chapter 2,1215,435.33,1000.85,214.15,100,All Time Blockbuster
10,Dangal,2070.3,374.43,535,1535.3,70,All Time Blockbuster
11,Sanju,588.5,342.57,438.5,150,100,All Time Blockbuster
12,PK,792,340.8,489,303,85,All Time Blockbuster
13,Tiger Zinda Hai,558,339.16,433.77,124.23,210,Blockbuster
14,Saiyaara,570.23,329.63,398.73,171.5,60,Blockbuster
15,Bajrangi Bhaijaan,921.93,320.34,432.46,489.47,90,All Time Blockbuster
16,War,471,303.34,375,96,150,Blockbuster
17,Padmaavat,585,302.15,400,185,215,Blockbuster
18,Sultan,627.82,300.45,421.25,206.57,80,Blockbuster
19,Kalki 2898 AD,1042.25,293.13,767.25,275,600,Blockbuster
20,Kabir Singh,377,278.8,330,47,55,All Time Blockbuster
21,Tanhaji: The Unsung Warrior,361,277.75,325,36,150,Blockbuster
22,Tiger 3,464,276.62,339.5,124.5,300,Hit
23,RRR,1230,272.78,915.85,314.15,550,Blockbuster
24,Dhoom 3,558,271.07,372,186,175,All Time Blockbuster
25,Bhool Bhulaiyaa 3,389.35,260.11,311.35,78,150,SuperHit
26,The Kashmir Files,341,252.25,295,46,20,All Time Blockbuster
27,Singham Again,372.41,247.86,297.41,75,325,Average
28,Brahmastra Part One: Shiva,431,247.37,315.5,115.5,350,Hit
29,URI The Surgical Strike,341.75,244.14,293.75,48,70,All Time Blockbuster
30,Simmba,390,240.3,295,95,90,Blockbuster
31,Drishyam 2,342.31,239.67,282.81,59.5,50,Blockbuster
32,The Kerala Story,302,239.05,286.5,15.5,15,All Time Blockbuster
33,Kick,378,231.85,310,68,100,SuperHit
34,Krrish 3,374,231.79,313,61,94,Blockbuster
35,Chennai Express,422,227.13,310,112,115,Blockbuster
36,Dunki,454,227,272,182,120,Hit
37,Fighter,358.89,212.79,254.89,104,250,Hit
38,Bharat,321,212.03,251,70,165,Hit
39,Housefull 4,296,210.3,247,49,175,SuperHit
40,Prem Ratan Dhan Payo,405.85,210.16,310,95.85,180,SuperHit
41,Golmaal Again,308.62,205.69,262.88,45.74,80,Blockbuster
42,Good Newwz,316,205.09,242,74,60,Blockbuster
43,Mission Mangal,291,203.08,239,52,40,Blockbuster
44,3 Idiots,350,202.47,274,76,55,All Time Blockbuster
45,Happy New Year,397,199.95,295,102,150,SuperHit
46,Ek Tha Tiger,320,198.78,263,57,75,Blockbuster
47,Sooryavanshi,293,195.55,230.8,62.2,180,Hit
48,2,691,190.48,519,172,543,Average
49,Yeh Jawaani Hai Deewani,318,188.57,242,76,75,Blockbuster
50,Mahavatar Narsimha,325.93,187.76,297.93,28,1,Blockbuster
51,Bhool Bhulaiyaa 2,265.5,184.32,216.5,49,80,Blockbuster
52,Bajirao Mastani,357,184.3,256,101,145,Hit
53,Housefull 5,288.67,183.38,218.42,70.25,250,Average
54,War 2,364.35,177.59,282.6,81.75,400,None
55,Bang Bang!,340,174.51,270,70,160,Hit
56,Raid 2,237.46,173.44,206.46,31,120,Hit
57,Race 3,300,169.5,217,83,170,Average
58,Sitaare Zameen Par,267.52,166.19,200.77,66.75,120,Hit
59,Baaghi 2,257,165.5,211.84,45.16,75,Blockbuster
60,Raees,285,164.63,227.18,57.82,92,Hit
61,Kesari,208.8,155.7,183.8,25,100,Hit
62,Total Dhamaal,232.18,155.67,183.68,48.5,105,SuperHit
63,Dabangg 2,265,155,226,39,84,Blockbuster
64,Rocky Aur Rani Ki Prem Kahani,357.5,153.55,182.5,175,170,Hit
65,Chhichhore,211,153.16,180,31,70,Blockbuster
66,Salaar: Cease Fire - Part 1,617.75,152.65,487.75,130,200,Hit
67,OMG 2,221.75,151.16,178.75,43,70,SuperHit
68,Tanu Weds Manu Returns,258,150.71,214,44,39,Blockbuster
69,Bodyguard,230,148.52,189,41,60,Blockbuster
70,Dilwale,388,148.42,212,176,165,Average
71,Shaitaan,213.79,148.21,176.29,37.5,60,SuperHit
72,Adipurush,393,147.92,343,50,500,Flop
73,Super 30,210,147.39,171,39,60,SuperHit
74,Tu Jhoothi Main Makkar,223,147.28,175,48,70,Hit
75,Dabangg 3,218,146.23,178,40,90,Average
76,Saaho,451,145.67,359,92,350,Below Average
77,Thugs Of Hindostan,327.51,145.55,194,133.51,300,Disaster
78,Dream Girl,195,141.3,163,32,30,SuperHit
79,Singham Returns,216.56,140.6,200,16.56,105,SuperHit
80,Dabangg,215,140.22,207.8,7.2,42,Blockbuster
81,Gully Boy,235.7,139.63,164.7,71,60,SuperHit
82,Judwaa 2,227.51,138.55,192.43,35.08,65,SuperHit
83,Badhaai Ho,220,137.31,176,44,23,Blockbuster
84,Toilet Ek Prem Katha,316.97,134.42,186.42,130.55,18,SuperHit
85,Rowdy Rathore,198,133.25,172,26,45,Blockbuster
86,M.S. Dhoni: The Untold Story,215.5,133.09,184.68,30.82,104,Hit
87,Gangubai Kathiawadi,211.5,131.9,155.5,56,180,Hit
88,Stree,182,129.83,167,15,30,Blockbuster
89,Airlift,228,128.1,183,45,30,SuperHit
90,Avatar: The Way of Water,17380,127.77,477.5,16902.5,3200,Blockbuster
91,Rustom,216.35,127.49,177.07,39.28,50,SuperHit
92,Raazi,195,123.74,158,37,37,Blockbuster
93,Ready,185.1,120.9,153.2,31.9,40,Blockbuster
94,Jab Tak Hai Jaan,235.7,120.87,167.8,67.9,50,SuperHit
95,Tubelight,211.25,119.26,165.64,45.61,100,Average
96,Baahubali,650,118.5,516,134,180,Blockbuster
97,Agneepath,195.73,118.2,159.57,36.16,71,SuperHit
98,Badrinath Ki Dulhania,201.07,117.89,162.17,38.9,44,SuperHit
99,Goliyon Ki Rasleela Ram-Leela,218.07,117.53,158.57,59.5,88,Hit
100,Jai Ho,186.37,117.2,150.02,36.35,65,Hit
101,Jolly LLB 2,197.33,117,162.5,34.83,30,SuperHit
102,Avengers End Game,18970,116.47,445,13335,2500,All Time Blockbuster
103,Bala,162,116.38,135,27,35,SuperHit
104,Ra.One,206.73,116.2,156.87,49.86,130,Below Average
105,Ghajini,194.1,114,157.85,36.25,52,Blockbuster
106,Sky Force,150.01,113.62,135.51,14.5,125,Average
107,Ae Dil Hai Mushkil,240.72,113.19,158.47,82.25,70,SuperHit
108,Holiday,178.4,112.53,153.43,24.97,50,SuperHit
109,Barfi!,175,112.1,145,30,40,SuperHit
110,Housefull 2,188.4,112,151.6,36.8,72,SuperHit
111,Kisi Ka Bhai Kisi Ki Jaan,184.6,110.94,132,52.6,100,Below Average
112,Sikandar,184.89,110.36,130.89,54,200,Flop
113,Housefull 3,185.7,110.2,154.2,31.5,85,Hit
114,Gold,158,109.58,141,17,75,Hit
115,Sonu Ke Titu Ki Sweety,156.46,108.95,139.46,17,40,Blockbuster
116,Bhaag Milkha Bhaag,168,108.8,146.88,21.12,30,SuperHit
117,Don 2: The Chase Continues,210.35,108.51,144.73,65.62,76,Hit
118,Dream Girl 2,142.2,106.71,126,16.2,60,Hit
119,Golmaal 3,162.3,106.64,143.97,18.33,40,Blockbuster
120,Pushpa: The Rise (Part 1),350.1,106.35,313.8,36.3,150,SuperHit
121,ABCD 2,166,106.12,146.62,19.38,65,SuperHit
122,Ek Villain,155,105.76,142.77,12.23,39,SuperHit
123,Son Of Sardaar,150,105.1,141.89,8.11,40,SuperHit
124,Kaabil,178.1,104.34,145.8,32.3,35,Hit
125,De De Pyaar De,143.9,104.13,122.9,21,75,Hit
126,83,193,104.13,129,64,220,Disaster
127,Bol Bachchan,175,103.12,144.37,30.63,65,Hit
128,Raid,154.19,103.07,132.14,22.05,35,SuperHit
129,Munjya,126.04,102.54,121.04,5,30,SuperHit
130,2 States,173.1,102.33,142.23,30.87,50,SuperHit
131,Grand Masti,145,102.21,130.62,14.38,35,SuperHit
132,Race 2,162,101.45,131.88,30.12,85,Hit
133,Singham,151.27,100.5,130.65,20.62,52,SuperHit
134,Shivaay,147.29,100.45,138.55,8.74,100,Below Average
135,Batla House,127,99.24,116,11,50,Hit
136,Zero,178,96.61,120.8,57.2,200,Disaster
137,Welcome Back,168.7,96.55,130.34,38.36,90,Average
138,Baaghi 3,137,96.5,114,23,100,Below Average
139,Fukrey 3,127.75,95.95,113.25,14.5,1,Hit
140,Baby,142.98,95.57,129.02,13.96,59,Hit
141,Manikarnika: The Queen of Jhansi,142,94.37,116.6,25.4,101,Average
142,Luka Chuppi,128,94.09,111,17,20,SuperHit
143,Sam Bahadur,130.3,93.95,111.8,18.5,1,Hit
144,Raajneeti,145.5,93.67,126.45,19.05,60,SuperHit
145,Talaash,175,93.61,121.75,53.25,60,Hit
146,Kesari Chapter 2,145,92.59,110.75,34.25,1,Average
147,Satyameva Jayate,121,90.39,116,5,45,Hit
148,Bholaa,123,90.31,108,15,100,Average
149,Singh Is Bliing,146,90.05,120,26,76,Average
150,Zindagi Na Milegi Dobara,153.1,89.98,121.47,31.63,55,Hit
151,Jaat,118.85,88.72,104.85,14,1,Average
152,Badla,140.47,88.53,104.47,36,20,SuperHit
153,Zara Hatke Zara Bachke,116,88.35,104.7,11.3,1,SuperHit
154,Gabbar is Back,135.5,87.54,118.17,17.33,72,Hit
155,Rab Ne Bana Di Jodi,151.6,85.49,114.97,36.63,35,Blockbuster
156,JugJugg Jeeyo,139.5,85.41,101.2,38.3,100,Average
157,Teri Baaton Mein Aisa Uljha Jiya,139,85.16,101.25,37.75,1,Hit
158,Kantara,407.82,84.77,363.82,44,16,All Time Blockbuster
159,Kalank,146.8,84.6,99.8,47,150,Flop
160,Pati Patni Aur Woh,109,84.56,99,10,40,Hit
161,Fan,182.3,84.1,113.26,69.04,85,Average
162,My Name Is Khan,224.4,82.78,111.75,112.65,85,Hit
163,Brothers,140,82.49,114.5,25.5,105,Average
164,Crew,151.63,81.95,96.63,55,1,None
165,Padman,205.84,81.74,105,100.84,20,SuperHit
166,Oh My God,149.9,81.47,109.9,40,20,Blockbuster
167,Veere Di Wedding,140,81.39,105,35,30,SuperHit
168,Sairat,110,80.98,104,6,4,All Time Blockbuster
169,Dhoom 2,147.9,80.91,109.22,38.68,35,Blockbuster
170,Fukrey Returns,112.3,80.16,108.21,4.09,22,SuperHit
171,The Dirty Picture,116.55,79.75,107.66,8.89,28,SuperHit
172,Piku,141.3,79.42,107.22,34.08,40,Hit
173,Sui Dhaaga - Made In India,124.6,79.07,100.6,24,40,Hit
174,Vikram Vedha,135.44,78.9,93.1,42.34,150,Below Average
175,Gunday,130.9,78.61,106.12,24.78,51,Hit
176,Om Shanti Om,148.2,78.25,105.63,42.57,38,Blockbuster
177,Article 370,105.15,78.12,92.65,12.5,1,SuperHit
178,Baadshaho,123.5,78.1,108.47,15.03,85,Flop
179,Aashiqui 2,109.07,78.1,105.44,3.63,15,Blockbuster
180,Satyaprem Ki Katha,118.5,77.04,92.5,26,1,Hit
181,Dil Dhadakne Do,150.05,76.81,106.7,43.35,83,Below Average
182,Humpty Sharma Ki Dulhania,119.6,76.81,106.7,12.9,33,Hit
183,Gadar: Ek Prem Katha,132.6,76.65,127.2,5.4,18,All Time Blockbuster
184,Baaghi,125.9,76.1,102.74,23.16,37,Hit
185,Housefull,119,75.65,102.13,16.87,45,SuperHit
186,Neerja,120.35,75.52,101.95,18.4,25,SuperHit
187,Lage Raho Munna Bhai,124.98,74.65,100.78,24.2,22,Blockbuster
188,Ram Setu,96.74,74.63,89.24,7.5,150,Below Average
189,Andhadhun,442.72,74.32,95.1,347.62,17,SuperHit
190,Dhadak,113,74.19,95,18,30,Hit
191,Street Dancer 3D,102,73.97,87,15,100,Below Average
192,Kapoor & Sons,143.4,73.22,98.86,44.54,35,Hit
193,Bhool Chuk Maaf,88.95,72.73,85.65,3.3,1,None
194,Hum Aapke Hain Koun..!,128,72.48,117,11,6,All Time Blockbuster
195,Entertainment,104,72.03,97.24,6.76,80,Flop
196,Krrish,121.7,71.98,100.77,20.93,35,Blockbuster
197,Cocktail,121.78,71.24,96.17,25.61,45,Hit
198,Student Of The Year 2,95.5,70.86,84.5,11,75,Below Average
199,Khiladi 786,97.05,70.71,94.58,2.47,35,SuperHit
200,Welcome,119.5,70.13,94.7,24.8,48,SuperHit
201,Dishoom,119.6,70.03,94.54,25.06,55,Average
202,Student Of The Year,96,70,92,4,59,Hit
203,Raaz 3,99.1,69.73,94.16,4.94,28,SuperHit
204,Hindi Medium,334.06,69.59,96.65,237.41,23,SuperHit
205,Bhediya,94.91,68.67,81.41,13.5,60,Average
206,Kedarnath,96,68.57,85,11,50,Hit
207,Dear Zindagi,136.12,68.45,92.41,43.71,30,Hit
208,Samrat Prithviraj,90.55,68.14,80.55,10,220,Disaster
209,Singh Is Kinng,122.7,67.92,94.33,28.37,50,SuperHit
210,Chak De India,109.2,67.72,91.42,17.78,20,SuperHit
211,Tamasha,136.6,67.3,87.49,49.11,87,Flop
212,Drishyam,110.4,67.14,90.63,19.77,48,Hit
213,Special 26,103.04,66.86,90.26,12.78,45,Hit
214,Love Aaj Kal,117.27,66.25,86.12,31.15,50,Hit
215,Article 15,94,66,79,15,25,SuperHit
216,R... Rajkumar,100.2,65.95,88.9,11.3,56,Average
217,Parmanu The Story Of Pokhran,91,65.46,84,7,45,Hit
218,Pink,104.3,65.42,88.31,15.99,23,Hit
219,Bade Miyan Chote Miyan,111.5,65.32,78.5,33,1,None
220,Bad Newz,113.77,64.53,76.77,37,1,Hit
221,Jab Harry Met Sejal,111.04,64.26,89.25,21.79,1,None
222,Pyaar Ka Punchnama 2,88.2,64.21,86.68,1.52,22,SuperHit
223,Ajab Prem Ki Ghazab Kahani,101,64.2,83,18,25,SuperHit
224,Satyagraha,91.05,63.75,86.06,4.99,60,Average
225,Humshakals,103.4,63.57,85.82,17.58,64,Below Average
226,Chandu Champion,89.24,63.57,75.49,13.75,1,None
227,Secret Superstar,912.75,63.4,81.28,831.47,15,SuperHit
228,Taare Zameen Par,98.5,62.95,83.5,15,12,SuperHit
229,Devara - Part 1,422.11,62.12,345.61,76.5,1,None
230,Shubh Mangal Zyada Saavdhan,83,62.05,73,10,35,Average
231,Rockstar,108.71,61.95,83.71,25,60,Average
232,Laal Singh Chaddha,133.5,61.12,72.5,61,180,Disaster
233,Once Upon Ay Time In Mumbai Dobaara!,91.7,61.09,82.47,9.23,75,Flop
234,Tees Maar Khan,100.01,60.96,82.29,17.72,35,Hit
235,Queen,93.05,60.83,82.12,10.93,20,SuperHit
236,Wanted,87.44,60.65,81.87,5.57,50,Hit
237,Race,103.73,60.64,84.89,18.84,45,Hit
238,Udta Punjab,97.05,60.33,83.8,13.25,47,Hit
239,Half Girlfriend,97.7,60.29,81.36,16.34,58,Average
240,Befikre,99.4,60.23,83.7,15.7,64,Below Average
241,Raanjhanaa,93.97,60.22,81.3,12.67,30,Hit
242,Partner,99.66,60.04,83.42,16.24,28,SuperHit
243,Besharam,95.1,59.87,80.83,14.27,83,Flop
244,Malang,80,59.84,70,10,50,Above Average
245,Shootout at Wadala,83.7,58.65,79.18,4.52,45,Above Average
